UID          PID    PPID  C STIME TTY          TIME CMD
seonu       1601    1314  0 14:36 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
seonu       1627    1436  0 14:36 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.15 /org/gtk/gvfs/exec_spaw/0
seonu       1638    1314  0 14:36 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
seonu       1640    1314  0 14:36 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
seonu       1651    1314  0 14:36 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
seonu       1652    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-a11y-settings
seonu       1655    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-color
seonu       1656    1651  0 14:36 ?        00:00:05 /usr/bin/ibus-daemon --panel disable
seonu       1660    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-datetime
seonu       1661    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-housekeeping
seonu       1665    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-keyboard
seonu       1666    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-media-keys
seonu       1667    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-power
seonu       1670    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-print-notifications
seonu       1672    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-rfkill
seonu       1673    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
seonu       1675    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-sharing
seonu       1682    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-smartcard
seonu       1692    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-sound
seonu       1697    1446  0 14:36 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
seonu       1698    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-wacom
seonu       1718    1446  0 14:36 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
seonu       1740    1656  0 14:36 ?        00:00:00 /usr/libexec/ibus-memconf
seonu       1742    1656  0 14:36 ?        00:00:03 /usr/libexec/ibus-extension-gtk3
seonu       1747    1314  0 14:36 ?        00:00:00 /usr/libexec/ibus-portal
seonu       1789    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-printer
seonu       1814    1656  0 14:36 ?        00:00:01 /usr/libexec/ibus-engine-hangul --ibus
seonu       1849    1314  0 14:36 ?        00:00:01 /usr/libexec/tracker-miner-fs-3
seonu       1850    1314  0 14:36 ?        00:00:00 /usr/libexec/xdg-desktop-portal
seonu       1855    1314  0 14:36 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
seonu       1864    1314  0 14:36 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
seonu       1913    1314  0 14:36 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
seonu       1928    1314  0 14:36 ?        00:00:00 /usr/libexec/gvfsd-metadata
seonu       2003    1472  0 14:36 ?        00:00:45 /opt/google/chrome/chrome
seonu       2008    2003  0 14:36 ?        00:00:00 cat
seonu       2009    2003  0 14:36 ?        00:00:00 cat
seonu       2011    1314  0 14:36 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/seonu/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 22.04.5 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=139.0.7258.154 --initial-client-fd=5 --shared-client-connection
seonu       2013    1314  0 14:36 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/seonu/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 22.04.5 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=139.0.7258.154 --initial-client-fd=4 --shared-client-connection
